Order ID,Order Date,Unit Cost,Price,Order Qty,Channel,Promotion_name,Product_Name,Manufacturer_ID,Product Sub Category,Product Category_Name,Region,City,Country_Name,Order Date (Year),Order Date (Quarter),Order Date (Month Index),Order Date (Month),Price After Discount
2909,9/13/2018,8,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Grey,1,Home & Office Phones,Cell phones,North America,Racine,United States,2018,Qtr3,9,Sep,1.3495
2971,9/1/2016,20,23,10,Store,No Discount,Contoso Lifestyles Series - Big Button Cordless phone M800 Black,1,Home & Office Phones,Cell phones,North America,Bacliff,United States,2016,Qtr3,9,Sep,23
3559,10/28/2018,14,43.81,10,Store,No Discount,Contoso Expandable 4-Handset Cordless Phone System M206 Grey,1,Home & Office Phones,Cell phones,North America,New Haven,United States,2018,Qtr4,10,Oct,2.1905
3642,10/31/2017,9,12.99,10,Store,No Discount,Contoso Dual Handset Cordless Phone System E20 Grey,1,Home & Office Phones,Cell phones,North America,Stoughton,United States,2017,Qtr4,10,Oct,12.99
3669,11/4/2016,4,28.99,10,Store,No Discount,Contoso Hybrid system M60 Black,1,Home & Office Phones,Cell phones,North America,Roanoke,United States,2016,Qtr4,11,Nov,2.0293
3678,11/13/2016,28,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 Grey,1,Home & Office Phones,Cell phones,North America,Annapolis,United States,2016,Qtr4,11,Nov,42.99
3808,3/13/2017,14,22.99,10,Store,No Discount,Contoso Expandable Cordless Phone System M008 Black,1,Home & Office Phones,Cell phones,North America,Plano,United States,2017,Qtr1,3,Mar,22.99
4120,9/17/2018,7,32.99,10,Store,No Discount,Contoso Private Branch Exchange M88 Black,1,Home & Office Phones,Cell phones,North America,New Haven,United States,2018,Qtr3,9,Sep,2.3093
4215,3/27/2018,2,35.99,10,Store,No Discount,Contoso 2-Line Speakerphone M109 White,1,Home & Office Phones,Cell phones,North America,Appleton,United States,2018,Qtr1,3,Mar,2.5193
4296,3/14/2018,1,16.99,10,Store,No Discount,Contoso Phone with 13-Number Memory (210) M301 White,1,Home & Office Phones,Cell phones,North America,Alexandria,United States,2018,Qtr1,3,Mar,1.1893
4406,3/21/2017,11,49.99,10,Store,No Discount,Contoso behind Centrex X15 Grey,1,Home & Office Phones,Cell phones,North America,Germantown,United States,2017,Qtr1,3,Mar,3.4993
4448,10/9/2017,8,16.99,10,Store,No Discount,Contoso Phone with 13-Number Memory (210) M301 Black,1,Home & Office Phones,Cell phones,North America,Fort Atkinson,United States,2017,Qtr4,10,Oct,16.99
4566,10/16/2016,31,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 White,1,Home & Office Phones,Cell phones,North America,Cape Canaveral,United States,2016,Qtr4,10,Oct,38.99
4776,11/27/2016,1,22,10,Store,No Discount,Contoso 4-Line Expandable Cordless Phone System M900 White,1,Home & Office Phones,Cell phones,North America,Orange,United States,2016,Qtr4,11,Nov,1.54
4941,10/5/2017,8,22.99,10,Store,No Discount,Contoso Multi-line phones M30 White,1,Home & Office Phones,Cell phones,North America,Bar Harbor,United States,2017,Qtr4,10,Oct,1.1495
5318,4/1/2018,7,16.99,10,Store,No Discount,Contoso Phone with 13-Number Memory (210) M301 Grey,1,Home & Office Phones,Cell phones,North America,New Castle,United States,2018,Qtr2,4,Apr,16.99
5440,9/16/2018,7,28.99,10,Store,No Discount,Contoso Hybrid system M60 Black,1,Home & Office Phones,Cell phones,North America,Houston,United States,2018,Qtr3,9,Sep,2.0293
5469,3/27/2017,28,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 White,1,Home & Office Phones,Cell phones,North America,Fredericksburg,United States,2017,Qtr1,3,Mar,42.99
5669,9/26/2016,6,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 Grey,1,Home & Office Phones,Cell phones,North America,Annapolis,United States,2016,Qtr3,9,Sep,3.0093
5844,10/26/2018,24,26.99,10,Store,No Discount,Contoso KSU-less key system M38 White,1,Home & Office Phones,Cell phones,North America,Houston,United States,2018,Qtr4,10,Oct,26.99
5945,9/2/2017,10,9.99,10,Store,No Discount,Contoso Single-line phones E10 White,1,Home & Office Phones,Cell phones,North America,Leominster,United States,2017,Qtr3,9,Sep,9.99
6023,9/28/2017,13,21,10,Store,No Discount,Contoso Bedroom Phone with AM/FM Stereo and Call Waiting Caller ID M600 White,1,Home & Office Phones,Cell phones,North America,New London,United States,2017,Qtr3,9,Sep,21
6560,9/10/2016,31,46.99,10,Store,No Discount,Contoso In front of Centrex L15 White,1,Home & Office Phones,Cell phones,North America,Georgetown,United States,2016,Qtr3,9,Sep,46.99
6619,3/19/2018,11,32.99,10,Store,No Discount,Contoso Private Branch Exchange M88 Grey,1,Home & Office Phones,Cell phones,North America,Tallahassee,United States,2018,Qtr1,3,Mar,1.6495
6997,10/21/2017,2,46.99,10,Store,No Discount,Contoso In front of Centrex L15 Black,1,Home & Office Phones,Cell phones,North America,Lewisville,United States,2017,Qtr4,10,Oct,3.2893
7103,9/27/2016,5,43.81,10,Store,No Discount,Contoso Expandable 4-Handset Cordless Phone System M206 White,1,Home & Office Phones,Cell phones,North America,Wheat Ridge,United States,2016,Qtr3,9,Sep,3.0667
7312,10/12/2016,17,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 Grey,1,Home & Office Phones,Cell phones,North America,Stoughton,United States,2016,Qtr4,10,Oct,42.99
7366,8/31/2016,21,28.99,10,Store,No Discount,Contoso Hybrid system M60 Black,1,Home & Office Phones,Cell phones,North America,La Porte,United States,2016,Qtr3,8,Aug,28.99
7494,3/17/2019,26,49.99,10,Store,No Discount,Contoso behind Centrex X15 Grey,1,Home & Office Phones,Cell phones,North America,Denver,United States,2019,Qtr1,3,Mar,49.99
7595,9/6/2018,18,22.99,10,Store,No Discount,Contoso Multi-line phones M30 White,1,Home & Office Phones,Cell phones,North America,Pasadena,United States,2018,Qtr3,9,Sep,22.99
8140,9/15/2017,11,35.99,10,Store,No Discount,Contoso Expandable 3-Handset Cordless Phone System M204 White,1,Home & Office Phones,Cell phones,North America,Houston,United States,2017,Qtr3,9,Sep,1.7995
8532,10/19/2016,31,39.99,10,Store,No Discount,Contoso Electronic Private Automatic Branch Exchange M90 Black,1,Home & Office Phones,Cell phones,North America,Georgetown,United States,2016,Qtr4,10,Oct,39.99
8707,11/1/2017,22,46.99,10,Store,No Discount,Contoso In front of Centrex L15 White,1,Home & Office Phones,Cell phones,North America,Parker,United States,2017,Qtr4,11,Nov,46.99
8853,11/26/2018,19,26.99,10,Store,No Discount,Contoso Phone System Accessory Handset with Charger M308 Grey,1,Home & Office Phones,Cell phones,North America,Rochester,United States,2018,Qtr4,11,Nov,26.99
9007,9/28/2017,6,32.99,10,Store,No Discount,Contoso Private Branch Exchange M88 Black,1,Home & Office Phones,Cell phones,North America,Beaumont,United States,2017,Qtr3,9,Sep,2.3093
9185,3/13/2018,28,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 White,1,Home & Office Phones,Cell phones,North America,Worcester,United States,2018,Qtr1,3,Mar,38.99
9383,10/7/2016,37,43.81,10,Store,No Discount,Contoso Expandable 4-Handset Cordless Phone System M206 Grey,1,Home & Office Phones,Cell phones,North America,Marshall,United States,2016,Qtr4,10,Oct,43.81
9485,11/28/2017,9,9.99,10,Store,No Discount,Contoso Single-line phones E10 White,1,Home & Office Phones,Cell phones,North America,Haverhill,United States,2017,Qtr4,11,Nov,9.99
9706,3/9/2017,19,22,10,Store,No Discount,Contoso 4-Line Expandable Cordless Phone System M900 White,1,Home & Office Phones,Cell phones,North America,Leominster,United States,2017,Qtr1,3,Mar,22
9913,9/18/2016,8,28.99,10,Store,No Discount,Contoso Hybrid system M60 Black,1,Home & Office Phones,Cell phones,North America,Trenton,United States,2016,Qtr3,9,Sep,1.4495
9963,9/25/2016,18,46.99,10,Store,No Discount,Contoso In front of Centrex L15 Grey,1,Home & Office Phones,Cell phones,North America,Waterbury,United States,2016,Qtr3,9,Sep,46.99
9984,11/20/2016,32,49.99,10,Store,No Discount,Contoso Behind Centrex X15 White,1,Home & Office Phones,Cell phones,North America,Falmouth,United States,2016,Qtr4,11,Nov,49.99
10169,3/4/2018,2,32.99,10,Store,No Discount,Contoso Private Branch Exchange M88 White,1,Home & Office Phones,Cell phones,North America,Lowell,United States,2018,Qtr1,3,Mar,2.3093
10622,11/15/2016,32,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 White,1,Home & Office Phones,Cell phones,North America,Milwaukee,United States,2016,Qtr4,11,Nov,38.99
10730,10/31/2016,7,35.99,10,Store,No Discount,Contoso 2-Line Speakerphone M109 Grey,1,Home & Office Phones,Cell phones,North America,Lakeland,United States,2016,Qtr4,10,Oct,2.5193
10957,11/15/2017,24,26.99,10,Store,No Discount,Contoso Phone System Accessory Handset with Charger M308 White,1,Home & Office Phones,Cell phones,North America,Milwaukee,United States,2017,Qtr4,11,Nov,26.99
11162,9/23/2016,11,16.99,10,Store,No Discount,Contoso Phone with 13-Number Memory (210) M301 Black,1,Home & Office Phones,Cell phones,North America,Lewiston,United States,2016,Qtr3,9,Sep,16.99
11584,11/3/2016,30,35.99,10,Store,No Discount,Contoso 2-Line Speakerphone M109 White,1,Home & Office Phones,Cell phones,North America,Castle Rock,United States,2016,Qtr4,11,Nov,35.99
11681,11/18/2016,28,35.99,10,Store,No Discount,Contoso 4 Handset Cordless Phone System M86 Grey,1,Home & Office Phones,Cell phones,North America,Granger,United States,2016,Qtr4,11,Nov,35.99
11896,3/14/2019,1,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 Black,1,Home & Office Phones,Cell phones,North America,Desoto,United States,2019,Qtr1,3,Mar,3.0093
12826,11/17/2016,14,22.99,10,Store,No Discount,Contoso Multi-line phones M30 Grey,1,Home & Office Phones,Cell phones,North America,Boston,United States,2016,Qtr4,11,Nov,22.99
12930,11/28/2018,11,22.99,10,Store,No Discount,Contoso Waterproof Accessory Handset and Charging Cradle M609 Black,1,Home & Office Phones,Cell phones,North America,Hackensack,United States,2018,Qtr4,11,Nov,22.99
13306,10/9/2017,30,47.44,10,Store,No Discount,Contoso Expandable1-Handset Cordless Phone System M207 Black,1,Home & Office Phones,Cell phones,North America,Aurora,United States,2017,Qtr4,10,Oct,47.44
13337,10/24/2016,17,43.81,10,Store,No Discount,Contoso Expandable 4-Handset Cordless Phone System M206 White,1,Home & Office Phones,Cell phones,North America,Stoughton,United States,2016,Qtr4,10,Oct,43.81
13728,9/13/2017,18,22.99,10,Store,No Discount,Contoso Multi-line phones M30 Grey,1,Home & Office Phones,Cell phones,North America,Fort Lauderdale,United States,2017,Qtr3,9,Sep,22.99
13845,9/24/2018,36,39.99,10,Store,No Discount,Contoso Electronic Private Automatic Branch Exchange M90 Grey,1,Home & Office Phones,Cell phones,North America,Burlington,United States,2018,Qtr3,9,Sep,39.99
13931,10/17/2016,21,28.99,10,Store,No Discount,Contoso Hybrid system M60 White,1,Home & Office Phones,Cell phones,North America,Houston,United States,2016,Qtr4,10,Oct,28.99
14728,10/16/2016,6,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 Black,1,Home & Office Phones,Cell phones,North America,Baltimore,United States,2016,Qtr4,10,Oct,2.7293
14822,11/19/2016,11,22.99,10,Store,No Discount,Contoso Expandable Cordless Phone System M008 White,1,Home & Office Phones,Cell phones,North America,Seattle,United States,2016,Qtr4,11,Nov,22.99
15039,9/23/2017,1,14.19,10,Store,No Discount,Contoso Phone with Memory Dialing-single line E88 White,1,Home & Office Phones,Cell phones,North America,Clifton,United States,2017,Qtr3,9,Sep,0.9933
15224,11/16/2016,1,23,10,Store,No Discount,Contoso Lifestyles Series - Big Button Cordless phone M800 White,1,Home & Office Phones,Cell phones,North America,New Bedford,United States,2016,Qtr4,11,Nov,1.61
15464,9/11/2016,19,49.99,10,Store,No Discount,Contoso behind Centrex X15 Grey,1,Home & Office Phones,Cell phones,North America,Haverhill,United States,2016,Qtr3,9,Sep,49.99
15536,9/17/2016,17,22.99,10,Store,No Discount,Contoso Multi-line phones M30 Grey,1,Home & Office Phones,Cell phones,North America,Newark,United States,2016,Qtr3,9,Sep,22.99
15556,3/17/2019,15,26.99,10,Store,No Discount,Contoso Phone System Accessory Handset with Charger M308 Black,1,Home & Office Phones,Cell phones,North America,Cheney,United States,2019,Qtr1,3,Mar,26.99
15719,9/4/2016,2,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Black,1,Home & Office Phones,Cell phones,North America,Lewisville,United States,2016,Qtr3,9,Sep,1.8893
15921,9/13/2016,27,35.99,10,Store,No Discount,Contoso 2-Line Speakerphone M109 Grey,1,Home & Office Phones,Cell phones,North America,Milwaukee,United States,2016,Qtr3,9,Sep,35.99
16018,9/7/2017,10,39.99,10,Store,No Discount,Contoso Electronic Private Automatic Branch Exchange M90 Black,1,Home & Office Phones,Cell phones,North America,Hackensack,United States,2017,Qtr3,9,Sep,1.9995
16196,9/11/2017,19,39.99,10,Store,No Discount,Contoso Electronic Private Automatic Branch Exchange M90 White,1,Home & Office Phones,Cell phones,North America,Roanoke,United States,2017,Qtr3,9,Sep,39.99
16323,11/5/2017,10,23,10,Store,No Discount,Contoso Lifestyles Series - Big Button Cordless phone M800 White,1,Home & Office Phones,Cell phones,North America,Snoqualmie,United States,2017,Qtr4,11,Nov,23
16368,10/30/2016,17,42.99,10,Store,No Discount,Contoso Centrex Phone System L10 Grey,1,Home & Office Phones,Cell phones,North America,New Brunswick,United States,2016,Qtr4,10,Oct,42.99
16473,9/26/2018,30,40.19,10,Store,No Discount,Contoso Expandable 2-Handset Cordless Phone System M205 Black,1,Home & Office Phones,Cell phones,North America,Seattle,United States,2018,Qtr3,9,Sep,40.19
16975,10/7/2018,29,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 White,1,Home & Office Phones,Cell phones,North America,Parkville,United States,2018,Qtr4,10,Oct,38.99
17093,9/17/2017,17,35.99,10,Store,No Discount,Contoso Expandable 3-Handset Cordless Phone System M204 Black,1,Home & Office Phones,Cell phones,North America,New London,United States,2017,Qtr3,9,Sep,35.99
17251,3/20/2017,5,22.99,10,Store,No Discount,Contoso Expandable Cordless Phone System M008 White,1,Home & Office Phones,Cell phones,North America,Orange,United States,2017,Qtr1,3,Mar,1.6093
17382,3/15/2017,16,26.99,10,Store,No Discount,Contoso KSU-less key system M38 White,1,Home & Office Phones,Cell phones,North America,Beaumont,United States,2017,Qtr1,3,Mar,26.99
17383,10/20/2017,6,43.81,10,Store,No Discount,Contoso Expandable 4-Handset Cordless Phone System M206 White,1,Home & Office Phones,Cell phones,North America,Denver,United States,2017,Qtr4,10,Oct,3.0667
17581,11/21/2018,26,32.99,10,Store,No Discount,Contoso Digital Cordless Expansion Handset Phone M900 White,1,Home & Office Phones,Cell phones,North America,Virginia Beach,United States,2018,Qtr4,11,Nov,32.99
17669,10/19/2016,13,23,10,Store,No Discount,Contoso Lifestyles Series - Big Button Cordless phone M800 White,1,Home & Office Phones,Cell phones,North America,Sedalia,United States,2016,Qtr4,10,Oct,23
17789,10/7/2016,2,22.99,10,Store,No Discount,Contoso Expandable Cordless Phone System M008 White,1,Home & Office Phones,Cell phones,North America,Morristown,United States,2016,Qtr4,10,Oct,1.6093
18548,9/10/2018,17,22,10,Store,No Discount,Contoso 4-Line Expandable Cordless Phone System M900 Black,1,Home & Office Phones,Cell phones,North America,Attleboro,United States,2018,Qtr3,9,Sep,22
18765,11/14/2016,8,23,10,Store,No Discount,Contoso Lifestyles Series - Big Button Cordless phone M800 White,1,Home & Office Phones,Cell phones,North America,Anchorage,United States,2016,Qtr4,11,Nov,1.15
18767,3/25/2017,15,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Black,1,Home & Office Phones,Cell phones,North America,Boston,United States,2017,Qtr1,3,Mar,26.99
18792,11/28/2016,15,22.99,10,Store,No Discount,Contoso Waterproof Accessory Handset and Charging Cradle M609 Black,1,Home & Office Phones,Cell phones,North America,La Porte,United States,2016,Qtr4,11,Nov,22.99
19032,10/21/2016,3,42,10,Store,No Discount,Contoso Integrated Business Phone With card L10 Black,1,Home & Office Phones,Cell phones,North America,Spring,United States,2016,Qtr4,10,Oct,2.94
19067,11/28/2016,8,35.99,10,Store,No Discount,Contoso 2-Line Speakerphone M109 Grey,1,Home & Office Phones,Cell phones,North America,Miami,United States,2016,Qtr4,11,Nov,2.5193
19074,4/1/2018,3,39.99,10,Store,No Discount,Contoso Electronic Private Automatic Branch Exchange M90 Grey,1,Home & Office Phones,Cell phones,North America,Texas City,United States,2018,Qtr2,4,Apr,2.7993
19171,10/5/2018,10,40.19,10,Store,No Discount,Contoso Expandable 2-Handset Cordless Phone System M205 White,1,Home & Office Phones,Cell phones,North America,Englewood,United States,2018,Qtr4,10,Oct,2.8133
19384,11/10/2016,4,22.99,10,Store,No Discount,Contoso Waterproof Accessory Handset and Charging Cradle M609 Black,1,Home & Office Phones,Cell phones,North America,Bellevue,United States,2016,Qtr4,11,Nov,1.6093
19446,10/29/2016,16,35.99,10,Store,No Discount,Contoso 4 Handset Cordless Phone System M86 Black,1,Home & Office Phones,Cell phones,North America,North Bend,United States,2016,Qtr4,10,Oct,35.99
19571,3/24/2018,16,22,10,Store,No Discount,Contoso 4-Line Expandable Cordless Phone System M900 White,1,Home & Office Phones,Cell phones,North America,Ithaca,United States,2018,Qtr1,3,Mar,22
19918,9/16/2017,4,12.99,10,Store,No Discount,Contoso Dual Handset Cordless Phone System  E20 Black,1,Home & Office Phones,Cell phones,North America,Sheboygan,United States,2017,Qtr3,9,Sep,0.6495
19944,10/11/2017,20,22.99,10,Store,No Discount,Contoso Multi-line phones M30 Black,1,Home & Office Phones,Cell phones,North America,Spokane,United States,2017,Qtr4,10,Oct,22.99
20008,9/28/2017,26,28.99,10,Store,No Discount,Contoso Hybrid system M60 Grey,1,Home & Office Phones,Cell phones,North America,Bar Harbor,United States,2017,Qtr3,9,Sep,28.99
20305,9/19/2017,18,31,10,Store,No Discount,Contoso Integrated Business Phone L08 Black,1,Home & Office Phones,Cell phones,North America,Attleboro,United States,2017,Qtr3,9,Sep,31
20521,10/21/2016,8,16.99,10,Store,No Discount,Contoso Phone with 13-Number Memory (210) M301 Grey,1,Home & Office Phones,Cell phones,North America,Poestenkill,United States,2016,Qtr4,10,Oct,16.99
20670,10/30/2016,18,35.99,10,Store,No Discount,Contoso 4 Handset Cordless Phone System M86 Grey,1,Home & Office Phones,Cell phones,North America,Nantucket,United States,2016,Qtr4,10,Oct,35.99
20854,10/13/2017,20,26.99,10,Store,No Discount,Contoso KSU-less key system M38 White,1,Home & Office Phones,Cell phones,North America,Holyoke,United States,2017,Qtr4,10,Oct,26.99
21046,11/7/2016,4,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Black,1,Home & Office Phones,Cell phones,North America,Baltimore,United States,2016,Qtr4,11,Nov,1.8893
21150,9/8/2016,14,38.99,10,Store,No Discount,Contoso Private Automatic Branch Exchange M65 White,1,Home & Office Phones,Cell phones,North America,Key West,United States,2016,Qtr3,9,Sep,38.99
21366,9/22/2016,5,26.99,10,Store,No Discount,Contoso KSU-less key system M38 Grey,1,Home & Office Phones,Cell phones,North America,Hackensack,United States,2016,Qtr3,9,Sep,1.8893
21390,3/30/2019,15,26.99,10,Store,No Discount,Contoso Phone System Accessory Handset with Charger M308 Grey,1,Home & Office Phones,Cell phones,North America,Beaumont,United States,2019,Qtr1,3,Mar,26.99
21579,10/28/2017,13,42,10,Store,No Discount,Contoso Integrated Business Phone With card L10 White,1,Home & Office Phones,Cell phones,North America,Kennebunkport,United States,2017,Qtr4,10,Oct,2.1
21590,9/19/2017,6,21,10,Store,No Discount,Contoso Bedroom Phone with AM/FM Stereo and Call Waiting Caller ID M600 Black,1,Home & Office Phones,Cell phones,North America,Milwaukee,United States,2017,Qtr3,9,Sep,1.05
21802,9/16/2017,4,14.19,10,Store,No Discount,Contoso Phone with Memory Dialing-single line E88 White,1,Home & Office Phones,Cell phones,North America,Worcester,United States,2017,Qtr3,9,Sep,0.7095
21852,9/25/2016,34,43.81,10,Store,No Discount,Contoso Expandable 4-Handset Cordless Phone System M206 Grey,1,Home & Office Phones,Cell phones,North America,Orlando,United States,2016,Qtr3,9,Sep,43.81
22063,11/3/2016,21,28.99,10,Store,No Discount,Contoso 2-Line Corded Cordless Telephone M202 Grey,1,Home & Office Phones,Cell phones,North America,Fredericksburg,United States,2016,Qtr4,11,Nov,28.99
22206,9/6/2017,13,28.99,10,Store,No Discount,Contoso 2-Line Corded Cordless Telephone M202 Black,1,Home & Office Phones,Cell phones,North America,Parkville,United States,2017,Qtr3,9,Sep,28.99
22292,10/17/2016,11,28.99,10,Store,No Discount,Contoso 2-Line Corded Cordless Telephone M202 White,1,Home & Office Phones,Cell phones,North America,Fort Atkinson,United States,2016,Qtr4,10,Oct,28.99
22293,10/30/2016,3,22.99,10,Store,No Discount,Contoso Waterproof Accessory Handset and Charging Cradle M609 White,1,Home & Office Phones,Cell phones,North America,Bangor,United States,2016,Qtr4,10,Oct,1.6093
121,9/25/2017,12,27.9,10,Store,No Discount,Contoso Enhanced Capacity Battery M800 Black,1,Computers Accessories,Computers,North America,Bellevue,United States,2017,Qtr3,9,Sep,27.9
574,10/28/2016,27,69.99,10,Store,No Discount,Contoso Wireless Laser Mouse M55 Silver,1,Computers Accessories,Computers,North America,South Portland,United States,2016,Qtr4,10,Oct,69.99
798,11/24/2017,6,23.9,10,Store,No Discount,Contoso Digital camera accessory kit M200 White,1,Computers Accessories,Computers,North America,Falmouth,United States,2017,Qtr4,11,Nov,1.195
1044,9/2/2017,26,25.5,10,Store,No Discount,Contoso Home/Office Laptop Power Adapter E300 White,1,Computers Accessories,Computers,North America,Kennebunkport,United States,2017,Qtr3,9,Sep,25.5
1291,10/27/2016,5,16.5,10,Store,No Discount,Contoso Notebook Peripheral Kit M69 Grey,1,Computers Accessories,Computers,North America,Yakima,United States,2016,Qtr4,10,Oct,0.825
1449,9/22/2018,16,230.9,10,Store,No Discount,Contoso Laptop Keyboard X105 White,1,Computers Accessories,Computers,North America,Menasha,United States,2018,Qtr3,9,Sep,16.163
1594,11/11/2016,24,27.9,10,Store,No Discount,Contoso Enhanced Capacity Battery M800 Black,1,Computers Accessories,Computers,North America,Miami,United States,2016,Qtr4,11,Nov,27.9
1985,9/4/2017,1,13,10,Store,No Discount,Contoso Optical Wheel OEM PS/2 Mouse E60 Grey,1,Computers Accessories,Computers,North America,Quincy,United States,2017,Qtr3,9,Sep,0.91
2062,9/29/2016,2,27.9,10,Store,No Discount,Contoso Enhanced Capacity Battery M800 White,1,Computers Accessories,Computers,North America,Waukesha,United States,2016,Qtr3,9,Sep,1.953
2077,3/14/2019,3,39.9,10,Store,No Discount,Contoso Laptop Cooling Hub notebook fan with 4 ports USB hub M200 Gold,1,Computers Accessories,Computers,North America,Kennebunkport,United States,2019,Qtr1,3,Mar,2.793
2152,10/19/2017,1,15.9,10,Store,No Discount,Contoso USB Wave Multi-media Keyboard E280 Black,1,Computers Accessories,Computers,North America,Spring,United States,2017,Qtr4,10,Oct,1.113
2205,11/19/2017,6,13.5,10,Store,No Discount,Contoso Education Supplies Bundle E200 Grey,1,Computers Accessories,Computers,North America,Aurora,United States,2017,Qtr4,11,Nov,13.5
2280,10/10/2017,22,26.9,10,Store,No Discount,Contoso Bright Light battery E20 White,1,Computers Accessories,Computers,North America,Leominster,United States,2017,Qtr4,10,Oct,26.9
2304,11/8/2018,21,23.9,10,Store,No Discount,Contoso Digital camera accessory kit M200 Grey,1,Computers Accessories,Computers,North America,Texas City,United States,2018,Qtr4,11,Nov,23.9
3307,9/7/2018,19,39.9,10,Store,No Discount,Contoso Leather Case - case for digital photo camera X20 Black,1,Computers Accessories,Computers,North America,Spokane,United States,2018,Qtr3,9,Sep,39.9
3320,10/28/2016,15,16.5,10,Store,No Discount,Contoso Notebook Peripheral Kit M69 Black,1,Computers Accessories,Computers,North America,Annapolis,United States,2016,Qtr4,10,Oct,16.5
3353,11/16/2017,1,27.9,10,Store,No Discount,Contoso Connectivity Starter Kit Smart Buy M680 Grey,1,Computers Accessories,Computers,North America,Hartford,United States,2017,Qtr4,11,Nov,1.953
3810,3/11/2018,2,19.95,10,Store,No Discount,Contoso Car power adapter M90 White,1,Computers Accessories,Computers,North America,Hingham,United States,2018,Qtr1,3,Mar,1.3965
3858,9/24/2016,12,19.95,10,Store,No Discount,Contoso Car power adapter M90 Grey,1,Computers Accessories,Computers,North America,Renton,United States,2016,Qtr3,9,Sep,19.95
